Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"17,5 tỷ","Đường Cộng Hòa, Phường 13, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"250 m² (4,7x14,0)",5 phòng,6 WC,3,Nam,Nam,Sổ hồng
"28,5 tỷ","Đường Lý Thường Kiệt, Phường 8, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"100 m² (4,0x25,0)",9 phòng,6 WC,N/A,N/A,N/A,Sổ hồng
"4,55 tỷ","Đường Trần Mai Ninh, Phường 12, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
"13,9 tỷ","Đường Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"56 m² (4,0x15,0)",7 phòng,6 WC,N/A,N/A,N/A,Sổ hồng
"6,7 tỷ","Đường Võ Thành Trang, Phường 11, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ",63 m²,3 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"2,83 tỷ","Đường Nguyễn Đình Khơi, Phường 4, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",4 phòng,4 WC,2,N/A,N/A,Sổ hồng
"2,9 tỷ","Đường Phạm Cự Lượng, Phường 2, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
60 tỷ,"Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","216 m² (8,0x27,0)",N/A,N/A,4,N/A,N/A,Sổ hồng
"15,49 tỷ","Đường Hoàng Văn Thụ, Phường 4, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","68 m² (4,5x15,0)",5 phòng,7 WC,5,N/A,N/A,Sổ hồng
"9,4 tỷ","Đường Nhất Chi Mai, Phường 13, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",4 phòng,5 WC,5,N/A,N/A,Sổ hồng
"6,5 tỷ","Đường Bùi Thế Mỹ, Phường 10, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ",97 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,8 tỷ","Đường Trần Thánh Tông, Phường 15, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"56 m² (4,0x14,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"5,1 tỷ","Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",2 phòng,2 WC,2,N/A,Đông Nam,Sổ đỏ
"7,3 tỷ","Đường Lý Thường Kiệt, Phường 8, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ",68 m²,7 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"4,95 tỷ","Đường Năm Châu, Phường 11, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","60 m² (4,3x13,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
980 triệu,"Đường Trần Mai Ninh, Phường 12, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
950 triệu,"Đường Trần Thái Tông, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","110 m² (4,0x13,8)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"6,15 tỷ","Đường Trần Thị Trọng, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
