Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"9,2 tỷ","Đường 3, Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"184 m² (7,2x26,0)",10 phòng,10 WC,2,N/A,Đông Nam,Sổ hồng
"2,95 tỷ","Đường Tô Ngọc Vân, Phường Linh Đông, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",40 m²,2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"9,8 tỷ","Đường Hoàng Diệu 2, Phường Linh Trung, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"123 m² (4,5x29,0)",5 phòng,6 WC,4,N/A,N/A,Sổ hồng
"10,5 tỷ","Đường 17, Phường Linh Trung, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"94 m² (4,4x21,0)",3 phòng,3 WC,N/A,Tây Bắc,Tây Bắc,Sổ hồng
"10,5 tỷ","Đường Đặng Văn Bi, Phường Bình Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",102 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,65 tỷ","Đường số 9, Phường Tam Bình, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","65 m² (5,0x13,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"2,99 tỷ","Đường 18, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","63 m² (4,5x15,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"8,4 tỷ","Đường số 7, Phường Linh Trung, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","71 m² (4,5x17,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
16 tỷ,"Đường Võ Văn Ngân, Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,380 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"9,8 tỷ","Đường số 5, Phường Linh Trung, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"123 m² (4,5x29,0)",5 phòng,6 WC,N/A,N/A,N/A,Sổ hồng
"3,95 tỷ","Đường Kha Vạn Cân, Phường Linh Đông, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",58 m²,3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
870 triệu,"Đường số 6, Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","15 m² (3,4x4,4)",1 phòng,1 WC,2,N/A,N/A,Sổ hồng
