Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"3,35 tỷ","Đường Hồng Bàng, Phường 10, Quận 6, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"12,7 tỷ","394, Đường Chợ Lớn, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"74 m² (4,5x17,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
28 tỷ,"230, Đường Cao Văn Lầu, Phường 1, Quận 6, TP.HCM",Nhà mặt tiền,"120,8 m² (4,3x28,1)",6 phòng,7 WC,5,N/A,N/A,Sổ hồng
"2,4 tỷ","Đường Bà Hom, Phường 13, Quận 6, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",2 phòng,3 WC,1,N/A,N/A,Sổ hồng
12 tỷ,"Đường Song Hành, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"76 m² (4,0x19,0)",6 phòng,6 WC,4,Bắc,Bắc,Sổ hồng
"10,5 tỷ","Đường 21, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"66 m² (4,0x17,0)",4 phòng,4 WC,3,Tây,Tây,Sổ hồng
"12,5 tỷ","38E, Đường Lý Chiêu Hoàng, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"93,7 m² (5,0x20,0)",3 phòng,2 WC,2,N/A,Nam,Giấy tờ hợp lệ
870 triệu,"Đường Bến Lò Gốm, Phường 3, Quận 6, TP.HCM","Nhà hẻm, ngõ","61 m² (5,0x12,2)",3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"3,65 tỷ","Đường Phan Văn Khỏe, Phường 5, Quận 6, TP.HCM","Nhà hẻm, ngõ","50 m² (4,0x12,5)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
10 tỷ,"Đường Cư Xá Phú Lâm D, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"67 m² (3,5x20,0)",4 phòng,5 WC,4,N/A,Đông,Sổ hồng
"11,4 tỷ","Đường An Dương Vương, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",6 phòng,5 WC,4,N/A,N/A,Sổ hồng
"11,8 tỷ","168B, Đường Tân Hòa Đông, Phường 14, Quận 6, TP.HCM",Nhà mặt tiền,"76 m² (4,0x19,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"17,5 tỷ","Đường Chợ Lớn, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"84 m² (5,0x18,0)",6 phòng,6 WC,4,Nam,Nam,Sổ hồng
"1,8 tỷ","Đường Bà Hom, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,40 m²,1 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"12,7 tỷ","Đường Bình Phú, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"72 m² (4,5x16,0)",5 phòng,6 WC,4,N/A,N/A,Sổ hồng
12 tỷ,"Đường số 6, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"68 m² (4,0x17,0)",4 phòng,5 WC,N/A,N/A,Bắc,Sổ hồng
"4,2 tỷ","S15/27, Đường Cư xá Phú Lâm A, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","45 m² (3,7x11,0)",2 phòng,2 WC,N/A,Bắc,Bắc,Sổ hồng
"1,85 tỷ","Đường Cư xá Phú Lâm A, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","20,6 m² (2,9x7,1)",1 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"31,5 tỷ","Đường Bình Phú, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"160 m² (8,0x20,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"3,15 tỷ","Đường Bà Hom, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","50 m² (4,0x12,5)",3 phòng,4 WC,4,N/A,N/A,Sổ hồng
"1,05 tỷ","Đường Bà Hom, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","68 m² (4,0x17,0)",4 phòng,3 WC,2,N/A,N/A,Sổ hồng
12 tỷ,"Đường số 6, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"68 m² (4,0x17,0)",4 phòng,5 WC,4,N/A,N/A,Sổ hồng
25 tỷ,"62, Đường số 9, Phường 7, Quận 6, TP.HCM",Nhà mặt tiền,"182 m² (5,7x31,0)",4 phòng,4 WC,3,Tây,Tây,Sổ hồng
"3,9 tỷ","116, Đường Tân Hòa Đông, Phường 14, Quận 6, TP.HCM","Nhà hẻm, ngõ","43 m² (4,4x10,0)",2 phòng,2 WC,2,N/A,Bắc,Sổ hồng
"6,48 tỷ","Đường Phạm Văn Chí, Phường 8, Quận 6, TP.HCM","Nhà hẻm, ngõ","44 m² (4,0x11,0)",4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"13,5 tỷ","Đường Phan Văn Khỏe, Phường 2, Quận 6, TP.HCM",Nhà mặt tiền,"92 m² (4,2x22,0)",4 phòng,3 WC,N/A,N/A,N/A,Sổ đỏ
"2,65 tỷ","Đường Minh Phụng, Phường 6, Quận 6, TP.HCM","Nhà hẻm, ngõ","63,8 m² (4,4x14,5)",4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"10,5 tỷ","N21, Đường Cư xá Phú Lâm A, Phường 12, Quận 6, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",2 phòng,2 WC,1,N/A,N/A,Sổ hồng
"7,6 tỷ","Đường Hậu Giang, Phường 11, Quận 6, TP.HCM","Nhà hẻm, ngõ","66 m² (4,3x15,5)",N/A,N/A,1,N/A,N/A,Sổ đỏ
3 tỷ,"Đường Bình Tây, Phường 1, Quận 6, TP.HCM","Nhà hẻm, ngõ","58,5 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"5,85 tỷ","Đường Nguyễn Văn Luông, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","48,4 m² (3,7x14,0)",1 phòng,N/A,N/A,N/A,Bắc,Sổ hồng
15 tỷ,"Đường số 5, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"87 m² (5,6x15,3)",2 phòng,2 WC,N/A,Đông,Đông,Sổ hồng
"4,25 tỷ","336, Đường Nguyễn Văn Luông, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","38 m² (3,9x10,0)",3 phòng,2 WC,N/A,Nam,Nam,Sổ hồng
"3,6 tỷ","Đường Tân Hòa Đông, Phường 14, Quận 6, TP.HCM","Nhà hẻm, ngõ","37 m² (4,6x8,0)",2 phòng,2 WC,N/A,Đông Nam,Đông Nam,Sổ hồng
9 tỷ,"Đường Bình Phú 1, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"64 m² (4,0x16,0)",4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
13 tỷ,"Đường Bình Phú, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",5 phòng,N/A,N/A,N/A,N/A,Sổ đỏ
3 tỷ,"Đường Tân Hóa, Phường 14, Quận 6, TP.HCM","Nhà hẻm, ngõ","19 m² (3,5x5,5)",N/A,N/A,2,N/A,N/A,Sổ đỏ
"17,5 tỷ","839, Đường HỒNG BÀNG, Phường 9, Quận 6, TP.HCM",Nhà mặt tiền,"72 m² (4,0x18,0)",3 phòng,3 WC,3,Bắc,Bắc,Sổ hồng
"28,8 tỷ","Đường Bình Phú, Phường 10, Quận 6, TP.HCM","Biệt thự, Villa","256 m² (16,0x16,0)",5 phòng,5 WC,2,Tây Bắc,Tây Bắc,Sổ hồng
"1,45 tỷ","240//, Đường Nguyễn Văn Luông, Phường 11, Quận 6, TP.HCM","Nhà hẻm, ngõ","10,8 m² (2,5x4,3)",2 phòng,1 WC,3,N/A,N/A,Sổ hồng
32 tỷ,"Đường Hậu Giang, Phường 2, Quận 6, TP.HCM",Nhà mặt tiền,"140 m² (7,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"12,5 tỷ","Đường 34, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"94 m² (5,3x18,0)",4 phòng,3 WC,N/A,Nam,N/A,Sổ hồng
8 tỷ,"Đường Cư Xá Phú Lâm D, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"57,6 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,7 tỷ","Đường Võ Văn Kiệt, Phường 7, Quận 6, TP.HCM","Nhà hẻm, ngõ","44 m² (3,5x12,7)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"4,15 tỷ","Đường Phạm Văn Chí, Phường 7, Quận 6, TP.HCM","Nhà hẻm, ngõ","30 m² (3,0x10,0)",3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"17,5 tỷ","Đường Chợ Lớn, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",4 phòng,3 WC,N/A,Nam,Nam,Sổ hồng
25 tỷ,"98, Đường Chu Văn An, Phường 1, Quận 6, TP.HCM",Nhà mặt tiền,"90,8 m² (3,7x24,5)",N/A,N/A,2,Tây,Tây,Sổ hồng
