Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"2,99 tỷ","Đường Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",54 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"12,4 tỷ","Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","78 m² (4,0x18,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"2,89 tỷ","Đường Cầm Bá Thước, Phường 7, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"55 m² (5,0x11,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"5,1 tỷ","Đường Phan Tây Hồ, Phường 7, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"68,8 m² (4,6x15,0)",3 phòng,4 WC,1,N/A,N/A,Sổ hồng
"5,6 tỷ","Đường Trần Huy Liệu, Phường 11, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",50 m²,5 phòng,5 WC,3,N/A,N/A,Sổ hồng
"3,8 tỷ","Đường Phan Đăng Lưu, Phường 3, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","49,2 m² (4,0x12,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,69 tỷ","Đường Cao Thắng, Phường 11, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",54 m²,4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"3,29 tỷ","Đường Hoa Giấy, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","48 m² (4,0x12,0)",4 phòng,4 WC,2,N/A,N/A,Sổ hồng
350 triệu,"Đường Phan Tây Hồ, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","53,1 m² (4,0x13,2)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
720 tỷ,"30, Đường Nguyễn Văn Trỗi, Phường 17, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"1.060 m² (25,0x45,0)",N/A,N/A,N/A,N/A,Đông Nam,Sổ hồng
"3,6 tỷ","Đường Chiến Thắng, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",55 m²,2 phòng,3 WC,2,N/A,N/A,Sổ hồng
"29,8 tỷ","Đường Lê Văn Sỹ, Phường 10, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"80 m² (4,2x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,57 tỷ","Đường Cô Bắc, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",4 phòng,4 WC,2,N/A,N/A,Sổ hồng
"2,35 tỷ","Đường Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","55,5 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"11,3 tỷ","Đường Đào Duy Anh, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","61,8 m² (4,0x15,0)",5 phòng,5 WC,N/A,N/A,Tây,Sổ hồng
"11,5 tỷ","Đường Nguyễn Đình Chính, Phường 11, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"54 m² (3,6x15,0)",4 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"3,5 tỷ","Đường Phùng Văn Cung, Phường 2, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"40 m² (4,0x10,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
